51 2 18.8212 1.92812 17.9868
89 2 7.35783 2.97664 4.80307
173 2 2.29494 0.613411 1.09146
181 2 7.56181 1.1575 1.5492
66 2 10.9744 19.1817 1.46699
22 2 15.3011 4.06184 3.62355
3 2 13.7939 1.29372 2.03485
187 2 18.7791 2.70306 3.19775
203 2 2.35797 6.60238 0.230436
114 2 2.13007 3.72819 1.09411
71 2 5.70664 5.98522 2.4042
174 2 3.96026 3.75567 3.23365
160 2 8.61921 6.2266 18.4381
175 2 9.85538 7.29429 2.72269
60 1 8.19407 5.2404 2.08038
14 2 14.3566 7.76201 1.52827
129 2 10.1929 3.22292 2.20371
176 2 18.476 6.18667 1.70213
94 2 1.4009 8.87793 2.6115
57 2 4.52681 10.2409 1.85936
77 2 6.03288 12.0147 0.413865
92 2 7.93978 10.8369 3.88898
20 2 11.8133 10.0619 2.20433
131 2 16.6891 6.64439 4.06936
170 2 17.4877 8.87207 0.92903
102 2 2.63898 13.4438 4.36676
16 2 19.0436 12.1629 2.63014
48 2 1.7871 12.4934 0.646531
30 2 6.40454 14.4856 3.92642
91 2 11.119 13.5341 3.68705
101 2 14.6949 11.0877 1.10354
132 2 12.7041 13.6759 1.14929
19 2 15.2155 14.7406 2.87678
199 2 1.55762 15.3765 2.0213
26 1 2.74971 17.2468 0.373719
139 2 4.72011 17.2791 2.32641
195 1 7.47471 17.9018 3.40432
147 2 8.75963 16.1509 2.1814
117 2 12.0709 16.5838 1.47847
185 2 18.4824 18.1655 1.66865
141 2 0.972393 18.1713 4.53659
159 2 1.86141 3.21101 6.31077
106 2 6.98948 1.57173 8.04231
110 2 4.47324 0.273985 4.35319
165 2 8.90015 0.62932 4.78122
138 1 13.4619 1.0461 8.67369
125 1 8.31067 18.7073 7.17207
86 2 11.7049 0.121131 4.53192
182 2 12.4492 2.86549 5.80962
166 1 18.6809 1.82383 8.28606
68 2 18.8401 6.11772 7.42863
58 1 5.13779 8.27315 6.10823
36 2 5.46714 5.46809 6.68598
49 1 7.57073 5.86837 4.55129
34 2 10.3607 4.4213 7.28297
75 2 7.73712 7.51711 6.84529
76 2 12.5572 5.72222 3.12843
157 2 14.5613 6.22958 7.08287
196 1 19.1133 5.08101 4.49757
212 2 2.78186 6.75655 4.16608
13 2 5.24583 10.945 5.34323
120 2 9.54416 10.218 5.9367
130 2 10.7512 7.81944 5.98639
188 2 13.531 9.51112 4.95119
151 2 18.1533 8.9251 5.38608
123 2 2.28932 10.9156 5.49023
40 2 9.13534 13.5918 6.22939
96 2 13.8933 12.5911 5.15361
54 2 12.6027 13.7994 7.60151
27 2 16.216 10.5405 3.8714
98 2 18.254 12.0758 5.91131
167 2 16.8044 14.3543 6.73154
135 1 3.38767 16.8454 5.08437
25 2 4.12151 17.6513 7.3778
126 2 7.34107 16.574 5.74086
97 2 7.14748 16.7585 9.43874
122 2 10.955 16.3719 5.23461
10 1 14.1413 17.5792 3.1126
38 2 14.3301 16.1015 5.63571
83 2 16.9184 2.24986 5.16629
37 2 17.0725 16.7805 4.05163
17 2 14.6274 19.2446 6.09975
79 2 3.96434 2.86075 7.95813
107 2 4.1932 2.36342 11.0898
197 2 10.8498 1.3763 8.07224
